Probeset	"Mix A (0% tumor, 0% noise)"	"Mix B (0% tumor, 0% noise)"	"Mix C (0% tumor, 0% noise)"	"Mix D (0% tumor, 0% noise)"	"Mix A (30% tumor, 0% noise)"	"Mix B (30% tumor, 0% noise)"	"Mix C (30% tumor, 0% noise)"	"Mix D (30% tumor, 0% noise)"	"Mix A (60% tumor, 0% noise)"	"Mix B (60% tumor, 0% noise)"	"Mix C (60% tumor, 0% noise)"	"Mix D (60% tumor, 0% noise)"	"Mix A (90% tumor, 0% noise)"	"Mix B (90% tumor, 0% noise)"	"Mix C (90% tumor, 0% noise)"	"Mix D (90% tumor, 0% noise)"	"Mix A (0% tumor, 30% noise)"	"Mix B (0% tumor, 30% noise)"	"Mix C (0% tumor, 30% noise)"	"Mix D (0% tumor, 30% noise)"	"Mix A (30% tumor, 30% noise)"	"Mix B (30% tumor, 30% noise)"	"Mix C (30% tumor, 30% noise)"	"Mix D (30% tumor, 30% noise)"	"Mix A (60% tumor, 30% noise)"	"Mix B (60% tumor, 30% noise)"	"Mix C (60% tumor, 30% noise)"	"Mix D (60% tumor, 30% noise)"	"Mix A (90% tumor, 30% noise)"	"Mix B (90% tumor, 30% noise)"	"Mix C (90% tumor, 30% noise)"	"Mix D (90% tumor, 30% noise)"	"Mix A (0% tumor, 60% noise)"	"Mix B (0% tumor, 60% noise)"	"Mix C (0% tumor, 60% noise)"	"Mix D (0% tumor, 60% noise)"	"Mix A (30% tumor, 60% noise)"	"Mix B (30% tumor, 60% noise)"	"Mix C (30% tumor, 60% noise)"	"Mix D (30% tumor, 60% noise)"	"Mix A (60% tumor, 60% noise)"	"Mix B (60% tumor, 60% noise)"	"Mix C (60% tumor, 60% noise)"	"Mix D (60% tumor, 60% noise)"	"Mix A (90% tumor, 60% noise)"	"Mix B (90% tumor, 60% noise)"	"Mix C (90% tumor, 60% noise)"	"Mix D (90% tumor, 60% noise)"	"Mix A (0% tumor, 90% noise)"	"Mix B (0% tumor, 90% noise)"	"Mix C (0% tumor, 90% noise)"	"Mix D (0% tumor, 90% noise)"	"Mix A (30% tumor, 90% noise)"	"Mix B (30% tumor, 90% noise)"	"Mix C (30% tumor, 90% noise)"	"Mix D (30% tumor, 90% noise)"	"Mix A (60% tumor, 90% noise)"	"Mix B (60% tumor, 90% noise)"	"Mix C (60% tumor, 90% noise)"	"Mix D (60% tumor, 90% noise)"	"Mix A (90% tumor, 90% noise)"	"Mix B (90% tumor, 90% noise)"	"Mix C (90% tumor, 90% noise)"	"Mix D (90% tumor, 90% noise)"
1405_i_at	1224.723869	1896.007447	3825.296285	1909.739384	861.3183653	1331.21687	2681.719056	1340.829226	497.9128619	766.4262934	1538.141828	771.9190682	134.5073585	201.6357164	394.5646001	203.0089101	1223.733977	1895.74453	3827.240804	1931.571467	860.4451198	1330.570475	2681.446947	1340.03669	496.9935995	767.513407	1537.342861	823.7856262	133.525764	200.6489144	396.7256715	202.0143008	1223.724174	1895.008808	3824.389385	1908.749946	860.32384	1406.889712	2931.429445	1339.840891	517.7284204	765.5914204	1683.764928	771.485354	243.5462994	202.972724	393.9246948	202.0096307	1233.777508	1895.453522	3825.163606	1908.740757	860.3183789	1335.652676	2749.560468	1339.98358	496.9416836	765.427321	1537.327794	779.0389296	133.5073984	434.0268964	9226.589718	202.432001
1552390_a_at	152.8464722	52.29949232	3.955916831	24.12364704	445.9127255	375.5298396	341.6893368	355.8067479	738.9789788	698.7601869	679.4227567	687.4898488	1032.045232	1021.990534	1017.156177	1019.17295	152.1590769	51.51353431	4.814268126	23.32410253	444.9603237	374.620335	355.3609485	1052.928696	738.1182362	699.2962572	994.8524588	686.8913813	1031.135164	1021.034445	1016.262089	1020.238446	151.9170794	51.37492981	590.1997328	42.0582864	444.9725937	374.5452474	340.6999329	378.8146974	737.9800941	750.1271382	678.5723746	3421.210454	1031.115198	1037.714188	1016.266459	1063.778017	103548876.2	130576.2672	14.58598232	1625.631161	444.9127264	1185.770676	43355.59719	354.806766	737.9789789	697.7602327	1652.206701	686.5459191	1610.306517	1021.820298	32495.4806	2206.971735
1552623_at	251.2315789	588.9661192	230.0714462	405.7158124	237.069916	473.4840942	222.2578231	345.2088794	222.908253	358.0020692	214.4442	284.7019464	208.7465901	242.5200441	206.6305768	224.1950134	250.3121256	588.1680541	229.8667679	405.1033124	236.2486259	473.9064719	221.5026702	344.379661	226.7281613	359.4881505	216.1482919	284.2028891	336.5258489	245.6483449	285.5417609	237.1190507	250.2580984	587.9718413	29754.03089	404.7863419	236.117581	479.4249534	222.5786058	547.1363518	656014.0466	363.5740731	218.2412854	286.3154415	207.7467528	243.5089675	205.6877193	224.6550238	252.4093408	588.0736627	229.0744271	404.7184944	236.0720475	474.8582984	221.4073272	709.4343884	230.735609	359.3494903	213.5330124	285.6404161	207.7466257	241.5200442	427379.9543	223.1952714
1552774_a_at	98.96078743	170.7047866	28.70155506	56.26475049	111.7705216	161.991321	62.58905893	81.88329573	124.5802557	153.2778554	96.4765628	107.501841	137.3899899	144.5643898	130.3640667	133.1203862	110.4273824	170.8341106	29.11392837	55.31855823	113.4403255	161.3287432	71.68541858	80.9639659	123.5843974	155.5583056	95.81561838	112.2818272	140.1947902	144.761696	135.0255432	136.0657654	97.97475422	169.7067621	39868.80547	55.26478226	5536.513396	161.2297579	184.392583	1018.896254	126.5200933	158.8260886	95.65310287	121.4341684	136.4017486	143.6395045	129.3641246	693.6303827	98.16422184	207.0931668	27.72831651	93516.23272	110.9081099	161.0333491	2511.044732	81.62019246	123.5816378	183.6481909	143.0599109	106.967697	136.3900536	143.5647498	129.6286304	56273.55315
1553179_at	29.10399959	8.092845741	19.87014516	3.754971403	24.1636212	9.455813509	17.6999231	6.419301473	19.22324281	10.81878128	15.52970105	9.083631542	14.28286443	12.18174904	13.35947899	11.74796161	40.71467851	14.12820785	19.06415293	3.965445954	23.17170722	10.6309043	17.12341941	6.312526095	22.35564194	10.54740478	15.14803062	12.17410176	14.6842908	11.66451506	55.6508223	11.83146796	28.17641024	8.788043845	18.87021777	19407.08302	23.16372285	2627.571215	16.7895421	135.4237862	21.93980567	10.03799099	106.5520504	17.47750144	14.85565706	11.43407024	12.36081011	16.9815727	28.11618469	12.48238495	22.51092424	11292.35443	1346.268946	495653.8274	16.73377042	1105.415159	18.64872981	9.834713559	14.55156018	8.084239496	14.94042153	11.26592741	12.37400558	5826.446319
1553196_a_at	299.5629465	512.9649823	101.4224429	153.8905156	212.0758855	361.4573105	73.37753302	110.1051839	124.5888245	209.9496388	45.3326231	66.31985217	37.10176353	58.44196711	17.28771318	22.53452045	299.1363774	513.9373453	101.7636112	153.4582967	228.5940076	363.0454498	74.98607039	109.1682075	123.7049762	208.976129	44.39511196	72.88923136	72.25957195	57.84816915	16.76167286	110.0265266	298.5782924	512.194052	100.4266899	152.8920647	211.0760964	67341.75682	93.75636113	2506.669977	123.601719	209.94173	306.9791532	99.6480507	46.03674673	60.13086381	352.4469788	21.61164663	40508.89953	2642.620995	100.422445	196057.204	211.0792765	360.4805309	594.8660128	44362.89411	123.5923618	208.9497018	44.33270924	121.9424136	36.10177675	67908.57882	16.91432231	29723.05162
1553830_s_at	146.6984368	321.6442137	1464.562006	744.1121594	1066.478046	1188.94009	1988.982544	1484.667652	1986.257655	2056.235966	2513.403083	2225.223144	2906.037264	2923.531841	3037.823621	2965.778636	146.3995382	321.664239	1463.568275	744.9875787	1065.744667	1188.190545	1988.295191	1490.696098	1986.286712	2056.459647	2513.036485	2225.685259	2905.352925	2922.609075	3041.274222	2966.118521	231.9320255	71382.47025	1468.697846	1761.597194	1152.794216	1187.976026	6378.786135	1484.036016	2720.275085	2056.239115	2543.326771	2224.839175	2905.038982	2922.819618	3036.835527	6734.426467	145.6999492	320.6447957	1463.562008	743.1129929	1160.829007	1190.318648	4041.361825	1483.672955	1985.257656	91679.65269	2512.426272	2353.473931	2905.037388	2922.576165	70284521.27	2965.720509
1554161_at	114.1243539	209.695152	81.33958328	122.5550478	112.8768337	179.7763924	89.92749426	118.7783194	111.6293135	149.8576327	98.51540523	115.001591	110.3817933	119.9388731	107.1033162	111.2248627	117.3399707	220.7606363	217.8195194	124.9070352	113.1378821	179.3433553	88.97074936	119.2948441	113.2034748	149.2527499	98.25522129	116.1134364	160.3623637	119.2285034	112.6500274	187.4045836	113.1244546	208.6978115	2787.409244	975.3831991	8863.506098	180.8898154	89.99310961	118.8696412	112.2315363	150.360452	101.9840674	116.1179597	109.3858273	149.775205	107.0647115	181.7492645	113.1675312	227.6726315	80.3580477	121.5555255	10150.40327	181.1739069	88.94860458	210378.2724	54076.85645	148.8581972	97.66499335	129.4167215	109.388144	148.8294584	1919.076057	376.9402596
1554300_a_at	251.1459201	30.48428049	65.7610984	77.87752744	187.2606766	32.79752883	57.49130137	65.9728017	123.375433	35.11077716	49.22150433	54.06807595	59.49018947	37.4240255	40.95170729	42.1633502	251.4717089	45.74977182	64.90930688	77.26080243	186.3153782	32.1832087	56.77133964	65.67092498	138.7683636	35.28899979	49.18120014	53.34583708	69.41099427	36.46370778	40.19396574	42.13716871	6426.259169	272.2454325	1571.746772	77.06914392	186.2773203	49.89540517	56.63197602	66.20130264	122.3783677	34.26862923	48.23020555	53.50883049	32890.69806	36.52144339	42.74613875	41.20252286	250.145941	29.49122054	64.76293934	78.70768325	186.2616829	31.81356094	56.53504177	83.30664535	123.1590869	34.12162702	51.02473546	53.0855053	60.01767273	4294.689702	39.99123433	41.1633924
1554679_a_at	2839.007091	1307.778945	1230.004211	1323.482065	5729.300107	4657.440405	4602.998091	4668.432589	8619.593123	8007.101865	7975.991972	8013.383113	11509.88614	11356.76333	11348.98585	11358.33364	2851.919789	1307.572412	1229.621488	1322.567446	5728.715133	4656.463858	4602.779353	4669.889267	8618.799065	8058.131156	7975.208623	8012.909188	11509.00561	11356.55204	11351.9987	11360.85594	2838.280869	1307.131992	1230.024237	1322.482337	5850.265654	4657.768744	4602.000906	4669.762545	8618.775254	8006.103073	7975.001767	8050.154514	11509.09396	11397.10899	11451.77909	11357.33375	2838.522742	185628.7155	1229.010992	9198.845301	5728.302574	4656.50121	4602.662238	21466436.91	65985.42728	8006.101866	17074876.81	8012.402689	222124.0832	11355.76363	11347.98587	11357.38548
